Feature_ID,AC_1,AC_10,AC_100,AC_101,AC_102,AC_103,AC_104,AC_105,AC_106,AC_107,AC_108,AC_109,AC_11,AC_12,AC_13,AC_14,AC_15,AC_16,AC_17,AC_18,AC_19,AC_2,AC_20,AC_21,AC_22,AC_23,AC_24,AC_25,AC_26,AC_27,AC_28,AC_29,AC_3,AC_30,AC_31,AC_32,AC_33,AC_34,AC_35,AC_36,AC_38,AC_39,AC_4,AC_40,AC_42,AC_43,AC_44,AC_45,AC_46,AC_47,AC_48,AC_49,AC_5,AC_50,AC_51,AC_52,AC_53,AC_54,AC_55,AC_56,AC_57,AC_58,AC_59,AC_6,AC_60,AC_61,AC_64,AC_65,AC_66,AC_67,AC_68,AC_69,AC_7,AC_70,AC_71,AC_72,AC_73,AC_74,AC_75,AC_76,AC_77,AC_78,AC_79,AC_8,AC_80,AC_81,AC_82,AC_83,AC_84,AC_85,AC_86,AC_87,AC_88,AC_89,AC_9,AC_90,AC_91,AC_92,AC_93,AC_94,AC_95,AC_96,AC_97,AC_98,AC_99
a1ef686c65c83b720247e3da1bece48b,0,17,0,0,0,0,20,0,31,0,0,0,78,0,51,0,0,93,0,19,5,0,0,76,0,32,0,29,0,0,0,0,0,0,10,26,0,5,0,0,182,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,76,30,0,0,2,0,0,0,0,0,0,0,0,5,2,0,1,28,0,0,0,0,0,15,0,0,31,46,0,0,2,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
53ca3bb544ee6bb1429bdc7237b5bc66,0,0,50,0,0,0,0,0,20,0,0,0,12,0,0,0,0,0,0,13,12,39,0,74,0,25,0,0,0,0,0,0,0,0,0,15,0,15,0,0,20,0,101,0,0,0,0,0,0,0,0,0,0,94,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,6,0,0,0,0,14,0,0,19,0,0,0,0,340,0,0,0,0,57,0,0,37,0,0,0,0,0
c0278c8e87a1abb991f105e8fa050afb,0,0,36,24,185,26,7,0,0,74,11,0,0,0,0,15,0,0,5,15,0,4,3,16,27,0,0,0,0,0,77,0,0,0,0,0,0,3,0,17,9,48,4,0,0,68,0,2,73,0,1,0,61,3,0,27,16,3,0,28,8,0,0,4,0,0,0,45,4,0,0,0,0,0,0,21,16,8,0,8,15,0,0,36,0,0,0,0,1,42,61,2,0,0,0,135,3,42,11,0,0,0,8,0,0
bbcc43d1f12f0ca4ef8aa0ed7c1fdbd3,22,9,0,0,0,0,9,0,111,0,0,0,18,0,0,13,0,29,0,0,38,57,0,43,0,0,0,0,0,0,0,0,0,51,0,35,0,19,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,44,49,29,0,0,10,0,43,0,0,0,0,0,17,24,0,26,27,0,0,0,0,25,0,0,0,0,14,10,0,33,0,0,0,0,5,0,21,8,0,0,0,0,4,0,0,0,0,0
b2353d08f7956a594b453a69bb9545b0,18,11,9,0,0,0,38,0,0,0,0,0,32,0,0,17,0,0,0,16,53,84,0,78,0,19,0,0,0,0,0,0,0,43,0,0,0,8,0,0,13,60,0,20,0,0,0,0,0,0,0,0,37,2,0,0,73,0,58,0,0,11,0,26,0,0,0,0,3,0,20,0,23,0,0,0,0,15,3,0,0,0,0,23,25,0,12,0,0,0,0,3,0,0,0,0,16,0,0,0,0,0,0,0,0
043531d6051ebd48192b3b6795fe392f,0,0,0,0,0,0,0,0,0,0,0,0,95,5,32,0,0,683,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,147,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,35
d803427a7ffd32a69993ad812063eac7,42,0,58,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,11,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,414,0,0,0,0,10,0,0,11,0,0,0,0,0
d4ee0fcb2d6745f18745726de73faba5,13,7,5,0,2,0,0,0,28,0,0,0,0,0,13,111,0,0,0,0,0,30,0,50,0,3,0,0,5,0,0,0,75,0,0,5,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,18,82,0,0,9,0,50,0,0,0,0,0,4,55,0,9,0,6,0,0,0,15,0,0,0,0,18,0,0,13,0,0,0,0,5,0,21,9,0,0,0,0,0,0,4,0,0,0
2d4ff8b891d6daa587c48204c2917769,2,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,29,53,0,0,12,14,0,6,0,0,0,0,0,0,0,0,0,0,62,0,0,0,7,28,0,0,0,57,0,0,0,0,0,42,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
95f13994e2032f0d9725b25212d6e198,0,0,0,362,80,73,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,11,0,0,0,147,0,4,0,0,0,0,0,0,2,0,0,0,5,183,41,0,0,0,0,0,0,0,0,8,18,0,0,7,0,0,0,0,0,0,0,0,31,0,7,0,0,0,0,0,0,0,0,72,70,0,13,0,0,0,0,0,0,0,0,0
02c8bbcace75aab08108fc6a24298571,0,0,0,0,0,0,5,0,0,0,16,149,0,0,0,0,0,25,0,0,0,0,0,0,12,0,3,0,0,14,24,3,0,0,0,0,19,2,1,0,0,0,50,0,77,38,0,3,0,0,0,0,0,0,0,0,0,0,41,0,7,0,0,0,46,8,54,0,0,0,0,0,0,0,7,0,0,2,0,27,0,0,0,0,6,0,0,0,0,11,0,0,34,0,2,91,0,33,0,0,43,8,0,15,0
cb92644521b1fbbe4d365ce551e5e8a3,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,24,0,0,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,31,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,75,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,5,0,0,0,61,0,0,0,0,23,0,0,2,0,0,0,0,0,0,0,0,0,84,26,0,6,0,0,0,0,0
1d4dbbb74497625046462fdd9270aa02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3c3c48af55020490ff7f682125be27ca,12,0,0,3,0,0,0,12,0,44,0,0,0,0,0,9,0,0,0,0,6,0,13,5,7,0,0,0,0,4,0,2,0,0,82,7,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,44,5,1,0,2,0,33,0,0,9,0,0,145,0,0,18,0,0,0,2,2,0,0,0,0,0,14,0,13,6,0,1,12,0,0,0,0,6,3,0,0,81,3,0,0,0,0,0,2,9,0,52,0,136
