Feature_ID,Taxon
b6ca919760d09ab9c370ed78c3b17ec6,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__Ruegeria;D_6__uncultured bacterium
b8acd5ec24c54880b60be7109ba93613,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae
0c2f89d563eb63c4269424a063a996c7,D_0__Bacteria
99488d7b5b59c46bc6d91412585b281f,D_0__Bacteria
e9980f246790869372d095a7698e3c1b,D_0__Bacteria;D_1__Bacteroidetes;D_2__Flavobacteriia;D_3__Flavobacteriales;D_4__Flavobacteriaceae
99835ed80089e1198a78b982f85ddece,D_0__Bacteria
8f0dc593225e53fd27f7b26362660c7b,D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Planctomycetales;D_4__Planctomycetaceae;D_5__Planctomyces
1f7023b993c2eb791937f506022e1791,D_0__Bacteria
e857c9d950ba9e313774a60275be928f,D_0__Bacteria
87211a69bdd6f698a2998beb430ac341,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__Rhodospirillaceae;D_5__AEGEAN-169 marine group
d6abdc1bf779c54f8e74210443a61e3a,D_0__Bacteria;D_1__Bacteroidetes;D_2__Flavobacteriia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Muricauda;D_6__uncultured bacterium
95c3823192d93692f81d45bee251ed89,D_0__Bacteria
9ef1e158dfd6967a7e53cce60cc594c2,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria
65c7ae7c978573f0149324731b908365,D_0__Bacteria;D_1__Bacteroidetes;D_2__Flavobacteriia;D_3__Flavobacteriales
4126345e5fc80e95e011511215b410c4,D_0__Bacteria
f3775db0ab1fb7a5b887bd1652e59076,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Oceanospirillaceae;D_5__Neptuniibacter;D_6__uncultured bacterium
58e90313f50cce6e3df54bb8c8d2595a,D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Verrucomicrobiales;D_4__Verrucomicrobiaceae;D_5__Haloferula;D_6__uncultured bacterium
77a13b152afae42230465f05ee1e0792,D_0__Bacteria;D_1__Bacteroidetes;D_2__Flavobacteriia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Ulvibacter;D_6__uncultured bacterium
